,class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,z-nuv_mag
750,2,0.9225675652376765,0.6672082670170558,0.8760126096035907,0.8619799683363755,0.9079905721261332,0.7718725433074131,0.8245829186535555,0.8259479669929826,0.5433812834437246,0.4512352817865959,0.69831258456993,0.5953575989214274,0.7206248831939298,0.23351777691067982,0.6182706861798599,0.5239982523539805,0.6929713959570188,0.8387384594972032,0.6840670818430615,0.6506610361987571,0.4093825207576553,0.3827993356921601,0.5184615365837583
977,1,0.8722478449587849,0.9090790502908038,0.8973642677547944,0.8763030653204104,0.9085780897591244,0.7660452534531121,0.8114933392935789,0.9048087649472114,0.560921980682947,0.506834019100696,0.7411261131427518,0.6623717391708733,0.581664034252402,0.2724491119822066,0.6478981161444614,0.571168988195808,0.515752904831855,0.8535848326257784,0.7173867862891877,0.4342634263087024,0.419552292823923,0.23289052540691935,0.2981069101542913
5119,1,0.9396088454989001,0.5518564285254858,0.9033108287190694,0.9001748698908939,0.9175254502865058,0.8772251037132853,0.8463688705501451,0.8515242662076538,0.3963858324426383,0.4759293471267267,0.5372598226523332,0.5540397122686387,0.6662761536296554,0.4749508897774617,0.6392595110539886,0.6329824744393171,0.6051432346873992,0.6773588847435299,0.648807105251432,0.6478412169882625,0.5997887480017755,0.5665601242346004,0.5022342095611968
4021,1,0.9690291783349728,0.7432058461436223,0.7206650917992677,0.7461353440300905,0.7860353997734084,0.7642567223892313,0.7281402685426235,0.7889954423529094,0.30648006193507465,0.2770079055337749,0.3119486276316228,0.42145281251031524,0.36535061528227203,0.30021719557749543,0.46907911733879315,0.5745157073501881,0.43298056541281743,0.6102373797634404,0.6296992732724717,0.48835530965090945,0.621545316305564,0.4576450599736249,0.39991707131338455
826,2,0.89746567707066,0.7118935038212678,0.7600714183044244,0.8486019547528096,0.9275557704318625,0.8136717966176079,0.8608185282356466,0.8990607929143704,0.32964699290847965,0.10117717540373385,0.45328457600387373,0.291438085071895,0.23173172238925208,0.14610095084111005,0.5374681802067764,0.4396885202532628,0.45810342652784947,0.7834570923739945,0.6411948075428204,0.4942653711232532,0.4240883220137856,0.3247562378857585,0.4184314926185223
3222,2,0.8744380962971834,0.4656276246206125,0.8115815784732174,0.8484613879427455,0.9129365407853545,0.8580843474150617,0.8087575260499206,0.8440448584748739,0.4241186318628876,0.24564121831204727,0.3478951452458858,0.47534789341879785,0.4734903441319803,0.17364660338750135,0.40184641640367313,0.5262217032577544,0.6056405758809703,0.7346047455488334,0.7307873628540666,0.6502121997892141,0.6466105100562342,0.5304677679254644,0.440368481002067
5968,2,0.8998837347395572,0.9042959346177516,0.7522639296561026,0.8462183485840995,0.8951134913090386,0.8877277168478876,0.8465116027667393,0.8482266675461722,0.07538786151357452,0.1007715609878714,0.1374089610936174,0.1921616285575662,0.2588640162273088,0.24760353677669886,0.25549978100240767,0.34221798949306204,0.460521414485383,0.3447315735389079,0.37888932746256704,0.5849782833139017,0.6153978266475207,0.5747452207597656,0.5553586819119453
3858,1,0.9610417860371651,0.8457277816186956,0.8580533130339617,0.9180340513811676,0.9416798444399458,0.8761917282801142,0.8206205159914929,0.8460312010639451,0.2596938367416513,0.3055374660422887,0.42619016252571384,0.544497154590016,0.5807679855833437,0.4842105025682926,0.6967035448954206,0.7694040714478625,0.7245976104923497,0.7748756807831234,0.7693350050878702,0.7188629068646454,0.6605143266258451,0.5691765180279339,0.4613544612602188
2463,1,0.9109348554692546,0.7192412985789081,0.684239210746164,0.7107040251063315,0.7907768876579725,0.7771274152849844,0.7488103688033322,0.7317378112710692,0.4428639521727941,0.1954700320484799,0.21974391890926132,0.334074498093467,0.44597986387989286,0.08644416296885675,0.2540973380722801,0.37683027782302486,0.5491325975794022,0.5786411625651583,0.5901745540572957,0.6764127824198313,0.601399230530991,0.6526282637543455,0.5857747230618384
7827,1,0.8840792634621285,0.5402167729424225,0.7086246652832837,0.7673425100424107,0.7780846493565962,0.7607485537459262,0.7452656597866646,0.788347309407208,0.2631012296579633,0.3183296660968132,0.35479981603005634,0.38821319786182307,0.3917128936554939,0.3818491374075267,0.41484384389122525,0.46272554174095293,0.5109818473609555,0.4226500211491107,0.49847080462562243,0.533830192528967,0.4584695388037886,0.502774093848484,0.4769333617285621
8223,1,1.0,0.6797406731125274,1.0,0.9737945432073697,0.9506576715846426,0.8843450775824039,0.8466937139871143,0.8656662806182945,0.6655053722674871,0.7703958709100535,0.8683539498966789,0.907409451465418,1.0,0.7938952441056406,0.8932980972578672,0.9660344160838857,0.8699041061836617,0.955051913773799,0.9878398012458628,0.7305115655793963,0.7331998895190406,0.5925753743427543,0.5235395002172877
